annotation_id;annotator;created_at;id;lead_time;pos_tags;text;updated_at
22;1;2025-01-26T15:29:36.019192Z;29124;171,259;"[{""start"":0,""end"":3,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":4,""end"":8,""text"":""2022"",""labels"":[""NUM""]},{""start"":8,""end"":12,""text"":"" में"",""labels"":[""ADP""]},{""start"":12,""end"":24,""text"":"" टूर्नामेंट "",""labels"":[""NOUN""]},{""start"":24,""end"":26,""text"":""का"",""labels"":[""ADP""]},{""start"":28,""end"":32,""text"":""1वां"",""labels"":[""ADJ""]},{""start"":32,""end"":41,""text"":"" मुकाबला "",""labels"":[""NOUN""]},{""start"":41,""end"":65,""text"":""चेन्नई सुपर किंग्स (CSK)"",""labels"":[""PROPN""]},{""start"":65,""end"":68,""text"":"" और"",""labels"":[""CONJ""]},{""start"":69,""end"":88,""text"":""पंजाब किंग्स (PBKS)"",""labels"":[""PROPN""]},{""start"":89,""end"":92,""text"":""के "",""labels"":[""ADP""]},{""start"":92,""end"":96,""text"":""बीच "",""labels"":[""ADP""]},{""start"":96,""end"":101,""text"":""मुंबई"",""labels"":[""PROPN""]},{""start"":102,""end"":104,""text"":""के"",""labels"":[""ADP""]},{""start"":104,""end"":114,""text"":""ब्रेबोर्न"",""labels"":[""PROPN""]},{""start"":114,""end"":124,""text"":"" स्टेडियम "",""labels"":[""NOUN""]},{""start"":124,""end"":127,""text"":""में"",""labels"":[""ADP""]},{""start"":128,""end"":133,""text"":""खेला "",""labels"":[""VERB""]},{""start"":133,""end"":135,""text"":""जा"",""labels"":[""VERB""]},{""start"":136,""end"":139,""text"":""रहा"",""labels"":[""VERB""]},{""start"":140,""end"":142,""text"":""है"",""labels"":[""VERB""]},{""start"":27,""end"":28,""text"":""1"",""labels"":[""ADJ""]}]";IPL 2022 में टूर्नामेंट का 11वां मुकाबला चेन्नई सुपर किंग्स (CSK) और पंजाब किंग्स (PBKS) के बीच मुंबई के ब्रेबोर्न स्टेडियम में खेला जा रहा है।;2025-01-26T15:29:36.019209Z
23;1;2025-01-26T15:30:46.560686Z;29125;69,351;"[{""start"":1,""end"":6,""text"":""इसमें"",""labels"":[""ADP""]},{""start"":6,""end"":19,""text"":"" प्रधानमंत्री"",""labels"":[""NOUN""]},{""start"":20,""end"":33,""text"":""नरेंद्र मोदी,"",""labels"":[""PROPN""]},{""start"":49,""end"":62,""text"":"" स्कॉट मॉरीसन"",""labels"":[""PROPN""]},{""start"":76,""end"":89,""text"":""योशिहिदे सुगा"",""labels"":[""PROPN""]},{""start"":63,""end"":65,""text"":""और"",""labels"":[""CONJ""]},{""start"":34,""end"":46,""text"":""ऑस्ट्रेलियाई"",""labels"":[""ADJ""]},{""start"":66,""end"":72,""text"":""जापानी"",""labels"":[""ADJ""]},{""start"":47,""end"":49,""text"":""PM"",""labels"":[""PROPN""]},{""start"":73,""end"":75,""text"":""PM"",""labels"":[""PROPN""]},{""start"":89,""end"":93,""text"":"" भी "",""labels"":[""ADV""]},{""start"":93,""end"":105,""text"":""शामिल होंगे।"",""labels"":[""VERB""]}]";"""इसमें प्रधानमंत्री नरेंद्र मोदी, ऑस्ट्रेलियाई PM स्कॉट मॉरीसन और जापानी PM योशिहिदे सुगा भी शामिल होंगे।""";2025-01-26T15:30:46.560705Z
24;1;2025-01-26T15:33:08.346002Z;29126;140,669;"[{""start"":0,""end"":8,""text"":""PM मोदी "",""labels"":[""PROPN""]},{""start"":8,""end"":11,""text"":""की "",""labels"":[""ADP""]},{""start"":11,""end"":15,""text"":""बैठक"",""labels"":[""NOUN""]},{""start"":16,""end"":18,""text"":""के"",""labels"":[""ADP""]},{""start"":19,""end"":22,""text"":""बाद"",""labels"":[""NOUN""]},{""start"":23,""end"":27,""text"":""CBSE"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""की"",""labels"":[""ADP""]},{""start"":31,""end"":40,""text"":""परीक्षाएं"",""labels"":[""NOUN""]},{""start"":41,""end"":51,""text"":""टलींकोरोना"",""labels"":[""VERB""]},{""start"":51,""end"":54,""text"":"" के"",""labels"":[""ADP""]},{""start"":55,""end"":59,""text"":""बढ़ते"",""labels"":[""ADJ""]},{""start"":60,""end"":67,""text"":""मामलों "",""labels"":[""NOUN""]},{""start"":67,""end"":69,""text"":""को"",""labels"":[""ADP""]},{""start"":70,""end"":79,""text"":""देखते हुए"",""labels"":[""VERB""]},{""start"":80,""end"":86,""text"":""केंद्र"",""labels"":[""NOUN""]},{""start"":87,""end"":90,""text"":""ने "",""labels"":[""ADP""]},{""start"":90,""end"":96,""text"":""बुधवार"",""labels"":[""PROPN""]},{""start"":97,""end"":99,""text"":""को"",""labels"":[""ADP""]},{""start"":99,""end"":104,""text"":"" CBSE"",""labels"":[""PROPN""]},{""start"":104,""end"":115,""text"":""स्टूडेंट्स"",""labels"":[""NOUN""]},{""start"":115,""end"":118,""text"":"" के"",""labels"":[""ADP""]},{""start"":119,""end"":123,""text"":""लिए "",""labels"":[""ADP""]},{""start"":123,""end"":126,""text"":""बड़ा"",""labels"":[""ADJ""]},{""start"":127,""end"":132,""text"":""फैसला"",""labels"":[""NOUN""]},{""start"":133,""end"":138,""text"":""लिया।"",""labels"":[""VERB""]}]";PM मोदी की बैठक के बाद CBSE की परीक्षाएं टलींकोरोना के बढ़ते मामलों को देखते हुए केंद्र ने बुधवार को CBSE स्टूडेंट्स के लिए बड़ा फैसला लिया।;2025-01-26T15:33:08.346017Z
25;1;2025-01-26T15:35:09.348259Z;29127;118,835;"[{""start"":0,""end"":4,""text"":""2021"",""labels"":[""NUM""]},{""start"":69,""end"":73,""text"":""2021"",""labels"":[""NUM""]},{""start"":4,""end"":7,""text"":"" से"",""labels"":[""ADP""]},{""start"":8,""end"":13,""text"":""पहले "",""labels"":[""ADV""]},{""start"":14,""end"":18,""text"":""र्षल"",""labels"":[""PROPN""]},{""start"":13,""end"":18,""text"":""हर्षल"",""labels"":[""ADP""]},{""start"":19,""end"":22,""text"":""का "",""labels"":[""ADP""]},{""start"":23,""end"":28,""text"":""PLमें"",""labels"":[""PROPN""]},{""start"":29,""end"":33,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":33,""end"":40,""text"":"" रहा था"",""labels"":[""VERB""]},{""start"":41,""end"":46,""text"":""अच्छा"",""labels"":[""ADJ""]},{""start"":47,""end"":55,""text"":""प्रदर्शन"",""labels"":[""NOUN""]},{""start"":56,""end"":66,""text"":""र्षल पटेल "",""labels"":[""PROPN""]},{""start"":66,""end"":68,""text"":""का"",""labels"":[""ADP""]},{""start"":73,""end"":77,""text"":"" से "",""labels"":[""ADP""]},{""start"":77,""end"":81,""text"":""पहले"",""labels"":[""ADV""]},{""start"":82,""end"":85,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":82,""end"":89,""text"":""IPLमें "",""labels"":[""PROPN""]},{""start"":89,""end"":92,""text"":""कोई"",""labels"":[""DET""]},{""start"":92,""end"":97,""text"":"" खास "",""labels"":[""ADJ""]},{""start"":97,""end"":105,""text"":""प्रदर्शन"",""labels"":[""NOUN""]},{""start"":105,""end"":115,""text"":""नहीं रहा।"",""labels"":[""VERB""]}]";2021 से पहले हर्षल का IPLमें नहीं रहा था अच्छा प्रदर्शनहर्षल पटेल का 2021 से पहले IPLमें कोई खास प्रदर्शन नहीं रहा।;2025-01-26T15:35:09.348281Z
26;1;2025-01-26T15:36:59.821903Z;29128;105,653;"[{""start"":1,""end"":4,""text"":""CSA"",""labels"":[""PROPN""]},{""start"":4,""end"":7,""text"":"" ने"",""labels"":[""ADP""]},{""start"":8,""end"":10,""text"":""अब"",""labels"":[""ADV""]},{""start"":10,""end"":19,""text"":"" COVID-19"",""labels"":[""PROPN""]},{""start"":20,""end"":31,""text"":""रिप्लेसमेंट"",""labels"":[""NOUN""]},{""start"":32,""end"":42,""text"":""प्रोटोकॉल "",""labels"":[""NOUN""]},{""start"":42,""end"":54,""text"":""लागू किया है"",""labels"":[""VERB""]},{""start"":56,""end"":62,""text"":""जिसके "",""labels"":[""PRON""]},{""start"":62,""end"":65,""text"":""लिए"",""labels"":[""ADP""]},{""start"":65,""end"":71,""text"":"" दौरे "",""labels"":[""NOUN""]},{""start"":71,""end"":73,""text"":""की"",""labels"":[""ADP""]},{""start"":74,""end"":81,""text"":""शुरुआत "",""labels"":[""NOUN""]},{""start"":81,""end"":84,""text"":""से "",""labels"":[""ADP""]},{""start"":84,""end"":88,""text"":""पहले"",""labels"":[""ADV""]},{""start"":89,""end"":99,""text"":""बांग्लादेश"",""labels"":[""PROPN""]},{""start"":99,""end"":114,""text"":""क्रिकेट बोर्ड "",""labels"":[""NOUN""]},{""start"":114,""end"":116,""text"":""भी"",""labels"":[""ADV""]},{""start"":117,""end"":121,""text"":""सहमत"",""labels"":[""ADJ""]},{""start"":122,""end"":126,""text"":""था।\"""",""labels"":[""VERB""]}]";"""CSA ने अब COVID-19 रिप्लेसमेंट प्रोटोकॉल लागू किया है, जिसके लिए दौरे की शुरुआत से पहले बांग्लादेश क्रिकेट बोर्ड भी सहमत था।""";2025-01-26T15:36:59.821922Z
27;1;2025-01-26T15:38:47.250478Z;29129;105,144;"[{""start"":1,""end"":4,""text"":""सेल"",""labels"":[""NOUN""]},{""start"":5,""end"":9,""text"":""ऑफर "",""labels"":[""NOUN""]},{""start"":9,""end"":12,""text"":""की "",""labels"":[""ADP""]},{""start"":12,""end"":16,""text"":""बात "",""labels"":[""NOUN""]},{""start"":16,""end"":20,""text"":""करें"",""labels"":[""VERB""]},{""start"":20,""end"":23,""text"":"" तो"",""labels"":[""CONJ""]},{""start"":24,""end"":28,""text"":""HDFC"",""labels"":[""PROPN""]},{""start"":30,""end"":35,""text"":""ICICI"",""labels"":[""PROPN""]},{""start"":38,""end"":48,""text"":"" कोटक बैंक"",""labels"":[""PROPN""]},{""start"":35,""end"":38,""text"":"" और"",""labels"":[""CONJ""]},{""start"":49,""end"":51,""text"":""के"",""labels"":[""ADP""]},{""start"":52,""end"":59,""text"":""कार्ड्स"",""labels"":[""NOUN""]},{""start"":60,""end"":62,""text"":""पर"",""labels"":[""ADP""]},{""start"":63,""end"":71,""text"":""ग्राहकों"",""labels"":[""NOUN""]},{""start"":75,""end"":79,""text"":""1,50"",""labels"":[""NUM""]},{""start"":71,""end"":74,""text"":"" को"",""labels"":[""ADP""]},{""start"":80,""end"":85,""text"":"" रुपए"",""labels"":[""NOUN""]},{""start"":86,""end"":89,""text"":""का "",""labels"":[""ADP""]},{""start"":89,""end"":94,""text"":""फ्लैट"",""labels"":[""ADJ""]},{""start"":94,""end"":101,""text"":""कैशबैक"",""labels"":[""NOUN""]},{""start"":102,""end"":108,""text"":""मिलेगा"",""labels"":[""VERB""]},{""start"":79,""end"":80,""text"":""0"",""labels"":[""NUM""]}]";"""सेल ऑफर की बात करें तो HDFC, ICICI और कोटक बैंक के कार्ड्स पर ग्राहकों को 1,500 रुपए का फ्लैट कैशबैक मिलेगा।""";2025-01-26T15:38:47.250496Z
28;1;2025-01-26T15:40:00.623735Z;29130;71,884;"[{""start"":0,""end"":5,""text"":""जर्मन"",""labels"":[""ADJ""]},{""start"":6,""end"":13,""text"":""ऑटोमेकर"",""labels"":[""NOUN""]},{""start"":14,""end"":20,""text"":""कंपनी "",""labels"":[""NOUN""]},{""start"":20,""end"":44,""text"":""डाइमलर एजी (Daimler AG) "",""labels"":[""PROPN""]},{""start"":44,""end"":46,""text"":""को"",""labels"":[""ADP""]},{""start"":46,""end"":55,""text"":"" अमेरिका "",""labels"":[""PROPN""]},{""start"":55,""end"":59,""text"":""में "",""labels"":[""ADP""]},{""start"":59,""end"":86,""text"":""प्रदूषण कानून उल्लंघन मामले"",""labels"":[""NOUN""]},{""start"":86,""end"":90,""text"":"" में"",""labels"":[""ADP""]},{""start"":91,""end"":129,""text"":""2.2 बिलियन डॉलर (16.13 हजार करोड़ रु.) "",""labels"":[""NUM""]},{""start"":129,""end"":131,""text"":""का"",""labels"":[""ADP""]},{""start"":132,""end"":140,""text"":""जुर्माना"",""labels"":[""NOUN""]},{""start"":140,""end"":148,""text"":"" लगा है।"",""labels"":[""VERB""]}]";जर्मन ऑटोमेकर कंपनी डाइमलर एजी (Daimler AG) को अमेरिका में प्रदूषण कानून उल्लंघन मामले में 2.2 बिलियन डॉलर (16.13 हजार करोड़ रु.) का जुर्माना लगा है।;2025-01-26T15:40:00.623755Z
29;1;2025-01-26T15:41:36.903706Z;29131;94,619;"[{""start"":7,""end"":11,""text"":""1989"",""labels"":[""NUM""]},{""start"":19,""end"":23,""text"":""1991"",""labels"":[""NUM""]},{""start"":46,""end"":49,""text"":""419"",""labels"":[""NUM""]},{""start"":57,""end"":60,""text"":""228"",""labels"":[""NUM""]},{""start"":0,""end"":6,""text"":""दिसंबर"",""labels"":[""NOUN""]},{""start"":11,""end"":14,""text"":"" से"",""labels"":[""ADP""]},{""start"":14,""end"":18,""text"":"" जून"",""labels"":[""NOUN""]},{""start"":24,""end"":27,""text"":""के "",""labels"":[""ADP""]},{""start"":27,""end"":29,""text"":""बी"",""labels"":[""NOUN""]},{""start"":29,""end"":30,""text"":""च"",""labels"":[""NOUN""]},{""start"":31,""end"":42,""text"":""मुलायम सिंह"",""labels"":[""PROPN""]},{""start"":43,""end"":45,""text"":""ने"",""labels"":[""PRON""]},{""start"":49,""end"":53,""text"":"" IAS"",""labels"":[""NOUN""]},{""start"":61,""end"":64,""text"":""IPS"",""labels"":[""NOUN""]},{""start"":54,""end"":57,""text"":""और "",""labels"":[""CONJ""]},{""start"":65,""end"":72,""text"":""अफसरों "",""labels"":[""NOUN""]},{""start"":72,""end"":74,""text"":""का"",""labels"":[""ADP""]},{""start"":75,""end"":81,""text"":""तबादला"",""labels"":[""NOUN""]},{""start"":82,""end"":87,""text"":""किया।"",""labels"":[""VERB""]}]";दिसंबर 1989 से जून 1991 के बीच मुलायम सिंह ने 419 IAS और 228 IPS अफसरों का तबादला किया।;2025-01-26T15:41:36.903726Z
30;1;2025-01-26T15:43:02.889695Z;29132;84,377;"[{""start"":16,""end"":27,""text"":""उबर इंडिया,"",""labels"":[""PROPN""]},{""start"":47,""end"":54,""text"":""प्युमा,"",""labels"":[""PROPN""]},{""start"":55,""end"":69,""text"":""हीरो मोटोकॉर्प"",""labels"":[""PROPN""]},{""start"":71,""end"":74,""text"":""MPL"",""labels"":[""PROPN""]},{""start"":76,""end"":86,""text"":""ब्लू स्टार"",""labels"":[""PROPN""]},{""start"":86,""end"":89,""text"":"" और"",""labels"":[""CONJ""]},{""start"":28,""end"":31,""text"":""MRF"",""labels"":[""PROPN""]},{""start"":32,""end"":38,""text"":""टायर्स"",""labels"":[""NOUN""]},{""start"":40,""end"":45,""text"":""विक्स"",""labels"":[""PROPN""]},{""start"":1,""end"":7,""text"":""विराट "",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""इन"",""labels"":[""ADP""]},{""start"":10,""end"":15,""text"":""दिनों"",""labels"":[""NOUN""]},{""start"":89,""end"":99,""text"":"" अन्य बड़े "",""labels"":[""ADJ""]},{""start"":99,""end"":108,""text"":""ब्रांड्स "",""labels"":[""NOUN""]},{""start"":107,""end"":110,""text"":"" के"",""labels"":[""ADP""]},{""start"":111,""end"":114,""text"":""साथ"",""labels"":[""ADP""]},{""start"":114,""end"":129,""text"":""जुड़े हुए हैं।\"""",""labels"":[""VERB""]}]";"""विराट इन दिनों उबर इंडिया, MRF टायर्स, विक्स, प्युमा, हीरो मोटोकॉर्प, MPL, ब्लू स्टार और अन्य बड़े ब्रांड्स के साथ जुड़े हुए हैं।""";2025-01-26T15:43:02.889733Z
31;1;2025-01-26T15:44:30.034101Z;29133;85,887;"[{""start"":0,""end"":5,""text"":""इसके "",""labels"":[""PRON""]},{""start"":5,""end"":8,""text"":""साथ"",""labels"":[""ADP""]},{""start"":9,""end"":11,""text"":""ही"",""labels"":[""ADV""]},{""start"":11,""end"":19,""text"":"" भारतीय "",""labels"":[""ADJ""]},{""start"":19,""end"":22,""text"":""टीम"",""labels"":[""NOUN""]},{""start"":23,""end"":26,""text"":""ने "",""labels"":[""NOUN""]},{""start"":26,""end"":60,""text"":""ICC वर्ल्ड टेस्ट चैम्पियनशिप (WTC)"",""labels"":[""PROPN""]},{""start"":61,""end"":63,""text"":""के"",""labels"":[""ADP""]},{""start"":64,""end"":69,""text"":""फाइनल"",""labels"":[""NOUN""]},{""start"":70,""end"":73,""text"":""में"",""labels"":[""ADP""]},{""start"":74,""end"":82,""text"":""पहुंचने "",""labels"":[""VERB""]},{""start"":82,""end"":85,""text"":""की "",""labels"":[""ADP""]},{""start"":85,""end"":90,""text"":""अपनी "",""labels"":[""PRON""]},{""start"":90,""end"":98,""text"":""दावेदारी"",""labels"":[""NOUN""]},{""start"":99,""end"":104,""text"":""मजबूत"",""labels"":[""ADJ""]},{""start"":104,""end"":114,""text"":""कर ली है।"",""labels"":[""VERB""]}]";इसके साथ ही भारतीय टीम ने ICC वर्ल्ड टेस्ट चैम्पियनशिप (WTC) के फाइनल में पहुंचने की अपनी दावेदारी मजबूत कर ली है।;2025-01-26T15:44:30.034122Z
