"Truck Presence","annotation_id","annotator","created_at","id","image","lead_time","updated_at"
"Trucks",42,"1","2025-01-26T17:03:02.943660Z",43263,"/data/upload/8/d7a2bb46-img_260.jpg",17.041999999999998,"2025-01-26T17:04:49.861852Z"
"No Trucks",43,"1","2025-01-26T17:03:08.104861Z",43264,"/data/upload/8/095c46d9-img_261.jpg",2.564,"2025-01-26T17:03:08.104878Z"
"Trucks",44,"1","2025-01-26T17:03:11.338910Z",43265,"/data/upload/8/c844ab69-img_262.jpg",9.275,"2025-01-26T17:05:00.500426Z"
"Trucks",45,"1","2025-01-26T17:03:14.513431Z",43266,"/data/upload/8/b42fb984-img_263.jpg",6.949,"2025-01-26T17:05:06.207371Z"
"No Trucks",46,"1","2025-01-26T17:03:18.473454Z",43267,"/data/upload/8/d744f46a-img_264.jpg",2.04,"2025-01-26T17:03:18.473471Z"
"Trucks",47,"1","2025-01-26T17:03:22.089596Z",43268,"/data/upload/8/d74284b4-img_265.jpg",2.72,"2025-01-26T17:03:22.089612Z"
"Trucks",48,"1","2025-01-26T17:03:25.739586Z",43269,"/data/upload/8/66d9ff13-img_266.jpg",2.549,"2025-01-26T17:03:25.739602Z"
"Trucks",49,"1","2025-01-26T17:03:30.639449Z",43270,"/data/upload/8/7b74a19d-img_267.jpg",6.426,"2025-01-26T17:05:17.683623Z"
"No Trucks",50,"1","2025-01-26T17:03:34.037186Z",43271,"/data/upload/8/16283eec-img_268.jpg",2.518,"2025-01-26T17:03:34.037202Z"
"Trucks",51,"1","2025-01-26T17:03:42.329109Z",43272,"/data/upload/8/e60d50a5-img_269.jpg",9.046,"2025-01-26T17:05:28.918047Z"
"No Trucks",52,"1","2025-01-26T17:03:45.103263Z",43273,"/data/upload/8/4724912a-img_270.jpg",1.942,"2025-01-26T17:03:45.103285Z"
"No Trucks",53,"1","2025-01-26T17:03:47.923752Z",43274,"/data/upload/8/4b818063-img_271.jpg",1.977,"2025-01-26T17:03:47.923769Z"
"No Trucks",54,"1","2025-01-26T17:03:50.784977Z",43275,"/data/upload/8/3904fe0e-img_272.jpg",1.847,"2025-01-26T17:03:50.784997Z"
"No Trucks",55,"1","2025-01-26T17:03:55.271132Z",43276,"/data/upload/8/965d1547-img_273.jpg",3.548,"2025-01-26T17:03:55.271148Z"
"No Trucks",56,"1","2025-01-26T17:04:00.789362Z",43277,"/data/upload/8/30c61aef-img_274.jpg",2.382,"2025-01-26T17:04:00.789383Z"
"Trucks",57,"1","2025-01-26T17:04:06.371851Z",43278,"/data/upload/8/ab241ae7-img_275.jpg",9.233,"2025-01-26T17:05:47.536907Z"
"No Trucks",58,"1","2025-01-26T17:04:09.876687Z",43279,"/data/upload/8/7247ad31-img_276.jpg",2.198,"2025-01-26T17:04:09.876704Z"
"No Trucks",59,"1","2025-01-26T17:04:13.120876Z",43280,"/data/upload/8/0d9df953-img_277.jpg",2.462,"2025-01-26T17:04:13.120897Z"
"Trucks",60,"1","2025-01-26T17:04:17.137498Z",43281,"/data/upload/8/71de18f7-img_278.jpg",2.897,"2025-01-26T17:04:17.137518Z"
"Trucks",61,"1","2025-01-26T17:04:20.760296Z",43282,"/data/upload/8/8957a22b-img_279.jpg",2.712,"2025-01-26T17:04:20.760312Z"
