"Truck Presence","annotation_id","annotator","created_at","id","image","lead_time","updated_at"
"Trucks",82,"1","2025-01-26T17:15:36.190500Z",43303,"/data/upload/10/a12ffb2b-img_260.jpg",8.634,"2025-01-26T17:15:36.190517Z"
"No Trucks",83,"1","2025-01-26T17:15:41.751890Z",43304,"/data/upload/10/735dbe46-img_261.jpg",3.269,"2025-01-26T17:15:41.751910Z"
"No Trucks",84,"1","2025-01-26T17:15:45.420151Z",43305,"/data/upload/10/903d3c95-img_262.jpg",2.865,"2025-01-26T17:15:45.420170Z"
"Trucks",85,"1","2025-01-26T17:15:49.249701Z",43306,"/data/upload/10/b31686ed-img_263.jpg",2.907,"2025-01-26T17:15:49.249720Z"
"No Trucks",86,"1","2025-01-26T17:15:53.388981Z",43307,"/data/upload/10/f44f9d4e-img_264.jpg",3.238,"2025-01-26T17:15:53.389001Z"
"Trucks",87,"1","2025-01-26T17:15:56.423168Z",43308,"/data/upload/10/4736e46b-img_265.jpg",2.329,"2025-01-26T17:15:56.423188Z"
"Trucks",88,"1","2025-01-26T17:15:59.565050Z",43309,"/data/upload/10/6450df05-img_266.jpg",2.358,"2025-01-26T17:15:59.565067Z"
"No Trucks",89,"1","2025-01-26T17:16:02.336881Z",43310,"/data/upload/10/8e0f6362-img_267.jpg",2.092,"2025-01-26T17:16:02.336899Z"
"No Trucks",90,"1","2025-01-26T17:16:05.552635Z",43311,"/data/upload/10/f427142e-img_268.jpg",2.062,"2025-01-26T17:16:05.552652Z"
"Trucks",91,"1","2025-01-26T17:16:09.468045Z",43312,"/data/upload/10/869dd3e2-img_269.jpg",2.989,"2025-01-26T17:16:09.468061Z"
"No Trucks",92,"1","2025-01-26T17:16:12.618246Z",43313,"/data/upload/10/d6c8908d-img_270.jpg",1.608,"2025-01-26T17:16:12.618275Z"
"No Trucks",93,"1","2025-01-26T17:16:15.434443Z",43314,"/data/upload/10/0cccdd4a-img_271.jpg",1.846,"2025-01-26T17:16:15.434461Z"
"No Trucks",94,"1","2025-01-26T17:16:18.269370Z",43315,"/data/upload/10/7b793d46-img_272.jpg",2.01,"2025-01-26T17:16:18.269386Z"
"No Trucks",95,"1","2025-01-26T17:16:22.552511Z",43316,"/data/upload/10/8305d389-img_273.jpg",2.811,"2025-01-26T17:16:22.552528Z"
"No Trucks",96,"1","2025-01-26T17:16:25.983021Z",43317,"/data/upload/10/e6b1f8d2-img_274.jpg",2.195,"2025-01-26T17:16:25.983040Z"
"Trucks",97,"1","2025-01-26T17:16:30.941471Z",43318,"/data/upload/10/4ba09c61-img_275.jpg",3.11,"2025-01-26T17:16:30.941487Z"
"No Trucks",98,"1","2025-01-26T17:16:34.949384Z",43319,"/data/upload/10/94724a91-img_276.jpg",2.911,"2025-01-26T17:16:34.949406Z"
"No Trucks",99,"1","2025-01-26T17:16:37.934783Z",43320,"/data/upload/10/e9dfe91c-img_277.jpg",2.094,"2025-01-26T17:16:37.934802Z"
"Trucks",100,"1","2025-01-26T17:16:41.219912Z",43321,"/data/upload/10/2c71d18d-img_278.jpg",2.536,"2025-01-26T17:16:41.219933Z"
"Trucks",101,"1","2025-01-26T17:16:44.150362Z",43322,"/data/upload/10/284644e6-img_279.jpg",2.15,"2025-01-26T17:16:44.150395Z"
